Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
unknown_server_error	Unknown server error	Unbekannter Server-Fehler	Nieznany błąd serwera	Неизвестная ошибка сервера	Onbekende serverfout.	Erreur de serveur inconnue	Neznámá chyba serveru	Невідома помилка сервера	Nepoznata pogreška poslužitelja	Άγνωστο σφάλμα διακομιστή	Erro de servidor desconhecido	Bilinmeyen sunucu hatası	Неизвестна грешка на сървър	Ismeretlen szerverhiba	Error de servidor desconocido	Errore del server sconosciuto	Непозната грешка сервера	Eroare de server necunoscută
other_options	Other options	Weitere Optionen	Pozostałe opcje	Другие способы	Meer opties	Autres options	Další možnosti	Інші варіанти	Druge mogućnosti	Άλλες επιλογές	Outras opções	Diğer seçenekler	Други опции	Egyéb opciók	Otras opciones	Altre opzioni	Друге опције	Alte optiuni
use_existing_account	Use existing account:	Verwende bestehendes Konto	Użyj istniejącego konta	Зайти в действующий аккаунт	Bestaande account wordt gebruikt	Utiliser un compte existant :	Použijte stávající účet:	Використати наявний обліковий запис:	Upotrijebi postojeći račun:	Χρήση υφιστάμενου λογαριασμού:	Usar conta existente:	Mevcut hesabı kullan:	Използвате съществуващ акаунт:	Létező fiók használata:	Utilice una cuenta existente:	Usa un account esistente:	Искористите постојећи налог:	Utilizați contul existent:
guest_mode	Guest mode	Gastmodus	Tryb gościa	Гостевой режим	Gastmodus	Mode invité	Režim Host	Гостьовий режим	Način gosta	Λειτουργία επισκέπτη	Modo de convidado	Konuk modu	Режим на гост	Vendég mód	Modo invitado	Modalità Ospite	Режим рада гост	Mod de oaspeți
verify_your_email	Verify your email	Bestätigen Sie Ihre E-Mail-Adresse	Potwierdź swój adres e-mail	Подтвердите свой адрес электронной почты	Bevestig uw e-mailadres	Vérifiez votre adresse e-mail	Ověřte svůj e-mail	Перевірте пошту	Potvrdite e-poštu	Επαληθεύστε το email σας	Verifique o seu endereço de e-mail	E-postanızı doğrulayın	Потвърдете имейла си	Erősítse meg az e-mail-címét	Verifique su correo electrónico	Verifica l’indirizzo e-mail	Потврдите своју адресу е-поште	verifica-ți email-ul
did_not_receive_email	Didn't receive the email?	E-Mail nicht erhalten?	Nie otrzymałe(a)ś e-maila?	Не получили электронное письмо?	E-mail niet ontvangen?	Vous n'avez pas reçu d'e-mail ?	Nedostali jste e-mail?	Не отримали електронного листа?	Niste primili poruku e-pošte?	Δεν λάβατε το email;	Não recebeu o e-mail?	E-posta almadınız mı?	Не сте получили имейл?	Nem kapta meg az e-mailt?	¿No ha recibido el correo electrónico?	Non hai ricevuto l’e-mail?	Нисте примили е-пошту?	Nu ați primit e -mailul?
resend_email	Resend email!	Erneut senden!	Wyślij ponownie!	Отправить повторно!	Opnieuw verzenden!	Renvoyer l'e-mail !	Poslat e-mail znovu!	Відправити повторно!	Ponovno pošalji!	Επαναποστολή email!	Reenviar e-mail!	Tekrar e-posta gönder!	Изпратете отново!	E-mail újraküldése!	¡Volver a enviar el correo electrónico!	Rinvia l’e-mail!	Поново пошаљи е-пошту!	RESENDEND EMAIL!
please_check_email	Please check your email (	Bitte prüfen Sie Ihr E-Mail-Postfach (	Sprawdź swoją skrzynkę e-mail (	Проверьте свой электронный почтовый ящик (	Controller uw e-mail-postvak (	Consultez vos e-mails (	Zkontrolujte svůj e-mail (	Перевірте свою електронну пошту (	Provjerite e-poštu (	Ελέγξτε το email σας (	Verifique o seu e-mail (	E-postanızı kontrol edin (	Проверете имейла си (	Kérjük, ellenőrizze az e-mail-fiókját (	Consulte su correo electrónico (	Controlla la Posta in arrivo (	Проверите своју е-пошту (	Vă rugăm să verificați email-ul (
follow_the_instructions	) and follow the instructions to activate your account and then go to Login.	) und folgen Sie den Instruktionen, um Ihren Account zu aktivieren. Anschließend können Sie zum Login gehen.	) i postępuj zgodnie z instrukcjami w celu aktywacji konta. Następnie możesz przejść do Logowania.	) и следуйте инструкциям, чтобы активировать свою учетную запись. Затем вы можете перейти к входу в систему.	) en volg de instructies om uw account te activeren. Daarna kunt u naar de login gaan.	) et suivez les instructions pour activer votre compte, puis accédez à Connexion.	) a aktivujte svůj účet tak, že budete pokračovat podle pokynů, a pak přejděte k přihlášení.	), виконайте інструкції з активації облікового запису, після чого увійдіть у систему.	) i slijedite upute da biste aktivirali račun, a zatim idite na Prijava.	) και ακολουθήστε τις οδηγίες για να ενεργοποιήσετε τον λογαριασμό σας και μεταβείτε στη Σύνδεση.	) e siga as instruções para ativar a sua conta. Depois vá a Iniciar sessão.	) ve hesabınızı etkinleştirmek için talimatları izleyin, ardından Giriş'e gidin.	) и следвайте инструкциите, за да активирате акаунта си, след което отидете на Вход.	) és kövesse a levélben szereplő utasításokat a fiókja aktiválásához, majd jelentkezzen be.	) y siga las instrucciones para activar su cuenta y, a continuación, vaya a Iniciar sesión.	) e segui le istruzioni per attivare il tuo account, poi vai su Accesso.	) и пратите упутства да активирате свој налог, а затим идите на Пријави се.	) și urmați instrucțiunile pentru a vă activa contul și apoi mergeți la autentificare.
sending_label	Sending...	Sende...	Wyślij...	Отправить...	Verzenden...	Envoi en cours…	Posílám...	Відправка...	Šalje se...	Αποστέλλεται..	A enviar...	Gönderiliyor...	Изпращане...	Küldés...	Enviando...	Invio in corso…	Слање...	Trimiterea ...
email_sent	Email sent	E-Mail gesendet	Wiadomość została wysłana	Электронное письмо отправлено	E-mail verstuurd	E-mail envoyé	E-mail poslán	Лист відправлено	Poslana e-pošta	Το email εστάλη	E-mail enviado	E-posta gönderildi	Имейлът е изпратен	E-mail elküldve	Correo electrónico enviado	E-mail inviata	Е-пошта је послата	Email trimis
account_already_activated	Account already activated?	Account bereits aktiviert?	Czy konto jest już aktywne?	Учетная запись уже активирована?	Account al geactiveerd?	Compte déjà activé ?	Je již účet aktivován?	Обліковий запис вже активовано?	Račun je već aktiviran?	Ο λογαριασμός έχει ήδη ενεργοποιηθεί;	A conta já foi ativada?	Hesap zaten etkinleştirildi mi?	Акаунтът вече е активиран?	Már aktiválta a fiókját?	¿La cuenta ya está activada?	Account già attivato?	Налог је већ активиран?	Cont deja activat?
set_password_and_login	Set password and login	Passwort setzen und einloggen	Ustaw hasło i zaloguj się	Установить пароль и войти в систему	Wachtwoord instellen en inloggen	Définir le mot de passe et se connecter	Nastavit si heslo a přihlásit se	Встановити пароль та увійти	Odredite lozinku i prijavite se	Ορισμός κωδικού πρόσβασης και σύνδεση	Definir palavra-passe e iniciar sessão	Parola ve kullanıcı adı belirleyin	Задаване на парола и потребителско име	Állítsa be a jelszót, és jelentkezzen be	Establecer contraseña e inicio de sesión	Imposta password e accesso	Поставите лозинку и пријаву	Setați parola și conectați -vă
set_password_info	Please set a password to complete activating your account.	Bitte setzen Sie ein Passwort, um die Aktivierung des Accounts abzuschließen.	Ustaw hasło, aby zakończyć aktywację konta.	Пожалуйста, установите пароль, чтобы завершить активацию учетной записи.	Stel een wachtwoord in om de activatie van het account te voltooien.	Définissez un mot de passe pour terminer l'activation de votre compte.	Abyste dokončili aktivaci svého účtu, nastavte si heslo.	Для завершення активації облікового запису встановіть пароль.	Odredite lozinku i dovršite aktivaciju računa.	Ορίστε έναν κωδικό πρόσβασης για να ολοκληρώσετε την ενεργοποίηση του λογαριασμού σας.	Defina uma palavra-passe para concluir a ativação da sua conta.	Lütfen hesabınızı etkinleştirmeyi tamamlamak için parola belirleyin.	Моля, задайте парола, за да завършите активирането на акаунта си.	Kérjük, állítson be egy jelszót a fiókja aktválásának befejezéséhez.	Establezca una contraseña para completar la activación de su cuenta.	Imposta una password per completare l’attivazione dell’account.	Поставите лозинку да бисте довршили активацију свог налога.	Vă rugăm să setați o parolă pentru a finaliza activarea contului.
to_login	TO LOGIN!	ZUM LOGIN!	PRZEJDŹ DO LOGOWANIA!	К ВХОДУ В СИСТЕМУ!	NAAR DE LOGIN!	CONNEXION !	K PŘIHLÁŠENÍ!	УВІЙТИ!	NA PRIJAVU!	ΜΕΤΑΒΑΣΗ ΣΤΗ ΣΥΝΔΕΣΗ!	INICIAR SESSÃO!	GİRİŞ’E GİT!	КЪМ ВХОДА!	A BEJELENTKEZÉSHEZ!	PARA INICIAR SESIÓN	ALL’ACCESSO!	ДА БИСТЕ СЕ ПРИЈАВИЛИ!	Să vă autentificați!
set_password_wait	Please wait…	Bitte warten…	Proszę czekać...	Ожидайте...	Even wachten...	Patientez…	Počkejte prosím…	Зачекайте...	Pričekajte…	Περιμένετε...	Aguarde...	Bekleyin...	Моля, изчакайте...	Kérjük, várjon...	Espere...	Attendi…	Молимо сачекајте…	Va rugam asteptati…
email_activate_subject	Welcome to Trusted Carrier	Willkommen bei Trusted Carrier	Witamy w Trusted Carrier	Добро пожаловать на платформу Trusted Carrier	Welkom bij Trusted Carrier	Bienvenue chez Trusted Carrier	Vítejte v Trusted Carrier	Вітаємо на платформі Trusted Carrier	Dobro došli u Trusted Carrier	Καλώς ήρθατε στην Trusted Carrier	Bem-vindo(a) à Trusted Carrier	Trusted Carrier’a hoş geldiniz	Добре дошли в Trusted Carrier	Üdvözöljük a Trusted Carrier-nél	Le damos la bienvenida a Trusted Carrier.	Ti diamo il benvenuto a Trusted Carrier	Добро дошли у Trusted Carrier	Bine ați venit la transportatorul de încredere
email_activate_title	Activate your account.	Aktivieren Sie Ihren Account.	Aktywuj swoje konto.	Активируйте свою учетную запись.	Activeer uw account.	Activez votre compte.	Aktivujte si svůj účet.	Активуйте свій обліковий запис.	Aktivirajte svoj račun.	Ενεργοποιήστε τον λογαριασμό σας.	Ative a sua conta.	Hesabınızı etkinleştirin	Активирайте акаунта си.	Aktiválja a fiókját.	Active su cuenta.	Attiva il tuo account.	Активирајте свој налог.	Activează-ți contul.
email_activate_content_1	Please use the link below to activate your account and set the password.	Bitte klicken Sie auf den folgenden Link, um Ihren Account zu aktivieren und ein neues Passwort zu setzen.	Kliknij w poniższy link, aby aktywować swoje konto i ustawić nowe hasło.	Чтобы активировать свою учетную запись и установить новый пароль, щелкните мышью по нижеследующей ссылке.	Klik op de volgende link om uw activeren te activeren en om een nieuw wachtwoord in te stellen.	Utilisez le lien ci-dessous pour activer votre compte et définir un mot de passe.	Pro aktivaci svého účtu a nastavení hesla použijte níže uvedený odkaz.	Перейдіть за посиланням нижче, щоб активувати обліковий запис та встановити пароль.	Poveznicom u nastavku aktivirajte račun i odredite lozinku.	Χρησιμοποιήστε τον παρακάτω σύνδεσμο για να ενεργοποιήσετε τον λογαριασμό σας και να ορίσετε τον κωδικό πρόσβασης.	Utilize o link abaixo para ativar a sua conta e definir a palavra-passe.	Hesabınızı etkinleştirmek ve parola belirlemek için aşağıdaki bağlantıyı kullanın.	Моля, използвайте връзката по-долу, за да активирате акаунта си и да зададете парола.	Kérjük, használja a lenti hivatkozást a fiókja aktiválásához és a jelszava beállításához.	Utilice el siguiente enlace para activar su cuenta y establecer la contraseña.	Usa il link qui sotto per attivare il tuo account e impostare la password.	Користите везу испод да активирате свој налог и поставите лозинку.	Vă rugăm să utilizați linkul de mai jos pentru a vă activa contul și pentru a seta parola.
email_activate_button	Activate Account	Account aktivieren	Aktywuj konto	Активировать учетную запись	Account activeren	Activer le compte	Aktivovat účet	Активувати обліковий запис	Aktiviraj račun	Ενεργοποίηση λογαριασμού	Ativar conta	Hesabınızı etkinleştirin	Активиране на акаунт	Fiók aktiválása	Activar cuenta	Attiva l’account	Активирајте налог	Activează contul
email_activate_content_2	If you cannot open the link in your email program, please copy the following link and paste it directly into your web browser: 	Wenn Sie den Link in Ihrem E-Mail-Programm nicht aufrufen können, dann kopieren Sie bitte den folgenden Link und fügen ihn direkt in Ihren Web-Browser ein:	Jeżeli nie możesz uruchomić linku w swoim programie pocztowym, skopiuj poniższy link i wstaw go bezpośrednio do paska adresu przeglądarki:	Если вы не можете вызвать ссылку в своей почтовой программе, то копируйте нижеследующую ссылку и вставьте ее непосредственно в строку веб-браузера:	Als u de link in uw e-mailprogramma niet kunt openen, kopieer dan de volgende link en plak deze rechtstreeks in uw webbrowser:	Si vous ne parvenez pas à ouvrir le lien dans votre messagerie, copiez le lien suivant et collez-le directement dans votre navigateur : 	Jestliže nemůžete odkaz otevřít v e-mailu, zkopírujte následující odkaz a vložte ho přímo do svého internetového prohlížeče: 	Якщо ви не можете перейти за посиланням зі своєї поштової програми, скопіюйте та вставте посилання безпосередньо у веб-браузер: 	Ako ne možete otvoriti poveznicu u programu e-pošte, kopirajte sljedeću poveznicu i zalijepite je izravno u web-preglednik: 	Εάν δεν μπορείτε να ανοίξετε τον σύνδεσμο στο πρόγραμμα email σας, αντιγράψτε τον ακόλουθο σύνδεσμο και επικολλήστε τον απευθείας στο πρόγραμμα περιήγησής σας: 	Se não conseguir abrir o link no e-mail, copie o link que se segue e cole-o diretamente no seu navegador: 	Bağlantı açılmazsa, aşağıdaki bağlantıyı kopyalayarak web tarayıcınıza yapıştırın: 	Ако не можете да отворите връзката в имейл програмата си, копирайте връзката и я поставете директно в браузъра: 	Ha nem tudja megnyitni a hivatkozás a levelezőprogramjában, akkor másolja ki a következő hivatkozást, és illessze be közvetlenül a böngészőjébe: 	Si no puede abrir el enlace en su programa de correo electrónico, copie el siguiente enlace y péguelo directamente en su navegador web: 	Se non puoi aprire il link nel tuo client di posta, copia il link di seguito e incollalo direttamente nel tuo browser: 	Ако не можете да отворите везу у свом програму за е-пошту, копирајте следећу везу и налепите је директно у свој веб претраживач: 	Dacă nu puteți deschide linkul în programul dvs. de e -mail, vă rugăm să copiați următorul link și să -l lipiți direct în browserul dvs. web:
email_activate_content_expiration	Without activation, this account will be deleted after 30 days.	Ohne Aktivierung wird dieser Account nach 30 Tagen gelöscht.	Bez aktywacji to konto zostanie usunięte po 30 dniach.	Без активации этот счет будет удален через 30 дней.	Zonder activering wordt dit account na 30 dagen verwijderd.	Sans activation, ce compte sera supprimé après 30 jours.	Bez aktivace bude tento účet vymazán po 30 dnech.	Без активації цей рахунок буде видалено через 30 днів.	Bez aktivacije, ovaj će se račun izbrisati nakon 30 dana.	Χωρίς ενεργοποίηση, αυτός ο λογαριασμός θα διαγραφεί μετά από 30 ημέρες.	Sem ativação, esta conta será excluída após 30 dias.	Aktivasyon olmadan, bu hesap 30 gün sonra silinecektir.	Без активиране този акаунт ще бъде изтрит след 30 дни.	Aktiválás nélkül ezt a fiókot 30 nap elteltével törlik.	Sin activación, esta cuenta se eliminará después de 30 días.	Senza attivazione, questo account verrà eliminato dopo 30 giorni.	Без активирања, овај рачун ће бити избрисан након 30 дана.	Fără activare, acest cont va fi șters după 30 de zile.
email_activate_content_3	If you didn’t request this message please ignore it!	Bitte ignorieren Sie diese Nachricht, wenn Sie diese nicht angefragt haben.	Zignoruj tę wiadomość, jeśli nie otrzymałeś jej na swoje żądanie.	Пожалуйста, игнорируйте это сообщение, если вы его не запрашивали.	Negeer dit bericht als u het niet hebt aangevraagd.	Si vous n'êtes pas à l'origine de cette demande, ignorez-la !	Pokud jste si tuto zprávu nevyžádali, prosím ignorujte ji!	Якщо ви не запитували це повідомлення, проігноруйте його!	Ako niste zatražili ovu poruku, zanemarite je!	Αν δεν ζητήσατε αυτό το μήνυμα, παρακαλούμε αγνοήστε το!	Se não solicitou esta mensagem, por favor ignore!	Bu mesajı siz talep etmediyseniz lütfen dikkate almayın!	Ако не сте поискали това съобщение, моля, игнорирайте го!	Ha nem Ön kérte ezt az üzenetet, akkor kérjük, hagyja figyelmen kívül.	Si no ha solicitado este mensaje, ignórelo.	Se non hai richiesto questo messaggio, ignoralo!	Ако нисте захтевали ову поруку, занемарите је!	Dacă nu ați solicitat acest mesaj, vă rugăm să -l ignorați!
email_activate_content_4	Please do not respond to this email, as we are not able to respond to messages to this address.	Bitte antworten Sie nicht auf diese Email, da wir nicht auf Nachrichten an diese Adresse antworten können.	Nie odpowiadaj na tę wiadomość e-mail, ponieważ nie możemy odpowiadać na wiadomości kierowane na ten adres.	Не отвечайте на это письмо, так как мы не можем отвечать на сообщения, направленные на этот адрес.	Beantwoord deze e-mail niet, omdat we niet op berichten aan dit adres kunnen antwoorden.	Ne répondez pas à cet e-mail, nous ne pouvons pas répondre aux messages envoyés à cette adresse.	Na tento e-mail prosím neodpovídejte, protože nejsme schopni odpovídat na zprávy zaslané na tuto adresu	Не відповідайте на цей електронний лист, оскільки ми не зможемо відповісти на повідомлення, надіслані на цю адресу.	Nemojte odgovarati na ovu poruku e-pošte jer ne možemo odgovarati na poruke poslane na ovu adresu.	Μην απαντήσετε σε αυτό το email, καθώς δεν είμαστε σε θέση να απαντήσουμε σε μηνύματα σε αυτή τη διεύθυνση.	Não responda a este e-mail, pois não conseguimos responder às mensagens enviadas para este endereço.	Lütfen bu e-postayı yanıtlamayın, bu adrese gönderilen mesajlara yanıt veremiyoruz.	Не отговаряйте на този имейл, тъй като не отговаряме на съобщения, изпратени на този адрес.	Kérjük, ne válaszoljon erre az e-mailre, mert az erre a címre küldött levelekre nem tudunk válaszolni.	No responda a este correo electrónico, ya que no podemos responder a los mensajes que se reciban en esta dirección.	Non rispondere a questa e-mail perché non possiamo rispondere ai messaggi a questo indirizzo.	Молимо вас да не одговарате на ову е-пошту јер нисмо у могућности да одговоримо на поруке на овој адреси.	Vă rugăm să nu răspundeți la acest e -mail, deoarece nu putem răspunde la mesajele la această adresă.
web_new_password	New password	Neues Passwort	Nowe hasło	Новый пароль	Nieuw wachtwoord	Nouveau mot de passe	Nové heslo	Новий пароль	Nova lozinka	Νέος κωδικός πρόσβασης	Palavra-passe nova	Yeni parola	Нова парола	Új jelszó	Nueva contraseña	Nuova password	Нова лозинка	Parolă Nouă
web_repeat_password	Repeat password	Passwort wiederholen	Powtórz hasło	Повторить пароль	Wachtwoord herhalen	Confirmer le mot de passe	Zadejte heslo znovu	Введіть пароль ще раз	Ponovite lozinku	Επανάληψη κωδικού πρόσβασης	Repetir palavra-passe	Parolayı yinele	Повторете паролата	Jelszó újra	Repetir contraseña	Ripeti la password	Поново унесите лозинку	Repetați parola
web_password_required	Password field is required	Passwort ist ein Pflichtfeld.	Hasło jest polem obowiązkowym.	Поле с паролем обязательно для заполнения.	Wachtwoord is een verplicht veld.	Le champ du mot de passe est obligatoire	Pole s heslem je povinné	Потрібно ввести пароль	Polje lozinke je obvezno	Το πεδίο κωδικού πρόσβασης είναι υποχρεωτικό	O campo da palavra-passe é obrigatório	Parola alanı doldurulmalı	Полето за парола е задължително.	A jelszó mező kötelező	El campo Contraseña es obligatorio.	Il campo della password è obbligatorio	Поље за лозинку је обавезно	Câmpul de parolă este necesar
web_password_rules	Password should have at least: 1 UPPER, 1 lower, 1 special(!@#$%^&*) and a length of at least 8 characters	Mindestens 8 Zeichen, davon jeweils mindestens 1 GROSSBUCHSTABE, 1 kleinbuchstabe, 1 Sonderzeichen (!#$%^&*)	Hasło musi zawierać minimum 8 znaków, w tym co najmniej po 1 DUŻEJ LITERZE, 1 małej literze, 1 znaku specjalnym (!#$%^&*)	Не менее 8 знаков, из них как минимум 1 БОЛЬШАЯ БУКВА, 1 маленькая буква, 1 специальный символ (!#$%^&*)	Ten minste 8 tekens, daarvan elk ten minste 1 HOOFDLETTER, 1 kleine letter, 1 speciaal teken (!#$%^&*)	Le mot de passe doit comporter au moins : 1 MAJUSCULE, 1 minuscule, 1 caractère spécial(!@#$%^&*) et 8 caractères	Heslo by mělo obsahovat alespoň: 1 VELKÉ písmeno, 1 malé písmeno, 1 speciální znak (!@#$%^&*) a minimálně 8 znaků	Пароль повинен складатися з 8 або більше символів та містити щонайменше 1 ВЕЛИКУ й 1 маленьку літеру та 1 спеціальний символ (!@#$%^&*)	Lozinka mora sadržavati najmanje: 1 VELIKO i 1 malo slovo, 1 posebni znak (!@#$%^&*) te imati najmanje 8 znakova	Ο κωδικός πρόσβασης πρέπει να έχει τουλάχιστον: 1 ΚΕΦΑΛΑΙΟ γράμμα, 1 μικρό γράμμα, 1 ειδικό χαρακτήρα(!@#$%^&*) και να περιέχει μέχρι 8 χαρακτήρες	A palavra-passe deve conter: 1 MAIÚSCULA, 1 minúscula, 1 especial (!@#$%^&*) e pelo menos 8 caracteres	Parola en azından şunları içermeli: 1 BÜYÜK HARF, 1 küçük harf, 1 özel karakter (!@#$%^&*) ve en az 8 karakter	Паролата трябва да съдържа поне: 1 ГЛАВНА БУКВА, 1 малка буква, 1 специален знак (!@#$%^&*) и да е с дължина мин. 8 знака	A jelszónak tartalmaznia kell legalább az alábbiakat: 1 NAGYBETŰ, 1 kisbetű, 1 speciális karakter (!@#$%^&*) és a hossza legalább 8 karakter	La contraseña debe tener al menos: 1 MAYÚSCULA, 1 minúscula, 1 especial(!@#$%^&*) y una longitud de al menos 8 caracteres	La password deve avere almeno: 1 LETTERA MAIUSCOLA, 1 lettera minuscola, 1 carattere speciale (!@#$%^&*) e una lunghezza minima di 8 caratteri	Лозинка треба да има најмање: 1 ВЕЛИКО СЛОВО, 1 мало слово, 1 посебни знак (!@#$%^&*) и треба садржавати најмање осам знакова	Parola ar trebui să aibă cel puțin: 1 superior, 1 inferior, 1 special (!@#$%^&*) Și o lungime de cel puțin 8 caractere
web_password_mismatch	Passwords mismatch error	Passwörter stimmen nicht überein.	Podane hasła nie są zgodne.	Пароли не совпадают.	Wachtwoorden komen niet overeen.	Erreur de correspondance des mots de passe	Chyba neshodujících se hesel	Паролі не співпадають	Lozinke se ne podudaraju	Σφάλμα αναντιστοιχίας κωδικών πρόσβασης	As palavras-passe não correspondem	Parola uyuşmazlığı hatası	Паролите не съвпадат.	Hiba, a jelszavak nem egyeznek	Las contraseñas no coinciden.	Errore di corrispondenza delle password	Грешка неподударања лозинки	Eroare de nepotrivire a parolelor
